序号,代码,名称,涨跌幅,最新价,涨停价,成交额,流通市值,总市值,换手率,涨速,首次封板时间,炸板次数,涨停统计,振幅,所属行业,date
1,000020,深华发Ａ,-9.987141609191895,21.0,25.66,1003657216,3804473211.0,5946385872.0,25.72255516052246,0.0,092500,1,6/5,19.97428321838379,光学光电,2026-03-23
2,600617,国新能源,3.007518768310547,4.11,4.39,1332120480,7297480451.790001,7928978199.360001,17.844287872314453,-0.7246376872062683,093802,1,3/2,8.771929740905762,燃气Ⅱ,2026-03-23
3,603211,晋拓股份,4.512863636016846,24.78,26.08,575608496,6735402240.0,6735402240.0,8.326592445373535,0.8136696219444275,093830,1,0/0,7.971320152282715,汽车零部,2026-03-23
4,600468,百利电气,4.739884376525879,9.06,9.52,1345021600,9854882008.26,9854882071.68,13.656538963317871,0.11049723625183105,094055,1,0/0,13.75722599029541,电网设备,2026-03-23
5,000983,山西焦煤,9.420289993286133,7.55,7.59,2586668000,42861850066.7,42862112972.799995,6.045692443847656,0.1326259970664978,094518,6,0/0,5.507246494293213,煤炭开采,2026-03-23
6,600075,新疆天业,7.7727952003479,7.21,7.36,742842144,12310092889.85,12310092940.32,6.0330681800842285,0.0,095446,1,0/0,12.705530166625977,化学原料,2026-03-23
7,000572,海马汽车,5.22765588760376,6.24,6.52,1653004592,10247659138.08,10262531335.68,15.926973342895508,0.0,100051,1,0/0,12.81618881225586,乘用车,2026-03-23
8,002506,协鑫集成,8.00744915008545,5.8,5.91,9360740096,33897701406.6,33931835955.2,28.017864227294922,0.0,100603,1,0/0,13.221602439880371,光伏设备,2026-03-23
9,000990,诚志股份,5.053763389587402,9.77,10.23,1306210336,11872861923.949999,11872870726.72,11.042654037475586,0.0,100645,1,0/0,13.333333969116211,化学原料,2026-03-23
10,002112,三变科技,5.560458660125732,23.92,24.93,1735537168,6268942836.0,7035620217.6,27.38726234436035,0.041823506355285645,100742,1,0/0,11.827007293701172,电网设备,2026-03-23
11,600580,卧龙电驱,8.169761657714844,40.78,41.47,5765017856,63520253798.58,63703151813.12,9.08300495147705,0.0,102745,4,0/0,7.108753204345703,电机Ⅱ,2026-03-23
12,000688,国城矿业,6.535948276519775,32.6,33.66,1422256000,38633066383.6,38633207411.200005,3.6899430751800537,0.0,110224,1,0/0,12.6143798828125,工业金属,2026-03-23
13,603693,江苏新能,7.367149829864502,17.78,18.22,1110489440,15850441146.400002,15850441288.640001,7.213037967681885,-0.05621135234832764,110232,1,0/0,14.673912048339844,电力,2026-03-23
14,002575,群兴玩具,5.5,8.44,8.8,1270018960,4941582020.0,5203260000.0,25.874906539916992,0.11862396448850632,112015,1,0/0,12.75,文娱用品,2026-03-23
15,000422,湖北宜化,7.843137741088867,17.05,17.39,2421561136,18035544287.2,18554635492.8,13.602157592773438,0.05868544802069664,130221,1,0/0,12.207463264465332,农化制品,2026-03-23
