序号,代码,名称,涨跌幅,最新价,成交额,流通市值,总市值,动态市盈率,换手率,封单资金,最后封板时间,板上成交额,连续跌停,开板次数,所属行业,date
1,600992,贵绳股份,-9.982934951782227,10.55,359673424,2585699500.0,2585699500.0,-11.835517883300781,13.5143404006958,3196660,150000,31512850,1,5,通用设备,2026-07-14
2,603339,四方科技,-10.012516021728516,14.38,337105280,4449764096.5,4449763995.84,26.26976776123047,7.4749908447265625,4032569,150000,167640015,1,17,通用设备,2026-07-14
3,600470,六国化工,-10.063898086547852,5.63,255716174,2936608000.0,2936608000.0,-8.122984886169434,8.59167766571045,5993698,142254,64375225,2,9,农化制品,2026-07-14
4,600058,五矿发展,-9.9609375,9.22,183946819,9883016755.42,9883016690.880001,145.34474182128906,1.8535078763961792,14658739,131417,131312527,2,7,贸易Ⅱ,2026-07-14
5,002549,凯美特气,-10.011185646057129,16.09,1144304864,11140064773.34,11188147775.36,260.6248779296875,10.19482421875,20324711,142009,282285115,1,11,化学制品,2026-07-14
6,001229,魅视科技,-9.99144172668457,42.07,377602544,3102713194.35,6034188447.0,-321.9263000488281,11.736676216125488,26567205,134115,85667137,1,0,计算机设,2026-07-14
7,603928,兴业股份,-9.988180160522461,15.23,723151712,5188921920.0,5188921920.0,40.78108596801758,13.765332221984863,34762018,140414,232019315,2,14,塑料,2026-07-14
8,605598,上海港湾,-10.011883735656738,30.29,60236084,7360979144.61,7360979144.61,461.02655029296875,0.8137708902359009,35175777,093405,37393005,2,0,专业工程,2026-07-14
9,600785,新华百货,-10.04672908782959,7.7,29547210,2432305198.4,2432305198.4,9.348909378051758,1.2147821187973022,50595321,150000,487369960,2,3,一般零售,2026-07-14
10,002457,青龙管业,-10.014103889465332,12.76,509794384,4252529653.24,4255291568.0,-167.76622009277344,11.977753639221191,69154734,132830,1198780308,2,9,装修建材,2026-07-14
11,002829,星网宇达,-10.00487995147705,18.44,107957340,2693208542.5600004,3832005225.36,-36.104454040527344,3.956110954284668,83138952,093100,44768632,1,0,航天装备,2026-07-14
12,603949,雪龙集团,-10.00588607788086,15.29,17744045,3214038639.46,3222164234.74,34.34589767456055,0.5520793795585632,83933721,092501,233995102,2,0,汽车零部,2026-07-14
13,002115,三维通信,-10.0,10.44,355213920,7791019201.08,8404589704.32,97.23469543457031,4.493490219116211,120075743,093130,195957756,1,1,通信服务,2026-07-14
14,600343,航天动力,-9.979959487915039,22.46,279118688,14334114576.08,14334114665.92,-161.1765594482422,1.934860110282898,137338318,093151,201037214,2,0,通用设备,2026-07-14
15,001270,铖昌科技,-10.002004623413086,134.7,1205557648,27586998583.199997,27763677164.699997,155.19398498535156,4.343290328979492,141987270,133400,1616333725,2,6,军工电子,2026-07-14
16,002137,实益达,-9.981515884399414,9.74,140649877,3861501708.94,5624897219.52,105.11051940917969,3.6422765254974365,168422404,093015,481966368,2,1,光学光电,2026-07-14
17,002342,巨力索具,-10.0401611328125,8.96,299676192,8554022400.000001,8601600000.0,579.378173828125,3.4982035160064697,315185964,093118,1111250560,2,0,通用设备,2026-07-14
18,300444,双杰电气,-20.0,8.56,199970849,5370900943.440001,6887548021.76,6.117196083068848,3.6988935470581055,335248154,093245,686775648,1,1,电网设备,2026-07-14
19,600186,莲花控股,-9.954751014709473,9.95,469727872,17801925995.449997,17838008168.0,31.0805721282959,2.6090381145477295,352788463,093130,372672275,1,1,调味发酵,2026-07-14
20,002208,合肥城建,-10.009578704833984,18.79,382087984,15089727896.929998,15093854575.519999,-151.5778350830078,2.530369997024536,390848516,093054,1480845537,1,1,房地产开,2026-07-14
21,603698,航天工程,-10.005040168762207,35.71,81140262,19140202900.0,19140202900.0,116.81092071533203,0.42392581701278687,470341659,092503,1151008291,2,0,专用设备,2026-07-14
22,600118,中国卫星,-10.004383087158203,82.13,2134043440,97117832657.54999,97117832739.68,-568.735595703125,2.169161558151245,1121522683,093154,2318661308,1,0,航天装备,2026-07-14
